,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
333,0.9726178646087646,0.07394289970397949,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6658653846153847,PC04,01,cvsa,,,ica,,,,,overt,WCBLE
334,1.6207401752471924,0.0623927116394043,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76875,PC04,01,cvsa,,,ica,,,,,overt,WCBLE
335,1.4213712215423584,0.0606844425201416,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,PC04,01,cvsa,,,ica,,,,,overt,WCBLE
348,1.7717020511627197,0.11467289924621582,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659903381642512,PC04,01,cvsa,,,ica,,,,,covert,WCBLE
349,1.4618678092956543,0.12258458137512207,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6545454545454545,PC04,01,cvsa,,,ica,,,,,covert,WCBLE
350,1.8371539115905762,0.09527921676635742,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7592165898617512,PC04,01,cvsa,,,ica,,,,,covert,WCBLE
351,1.1683070659637451,0.1187598705291748,0.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6366120218579234,PC04,01,cvsa,,,ica,,,,,covert,WCBLE
352,2.0782268047332764,0.09408307075500488,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,PC04,01,cvsa,,,ica,,,,,covert,WCBLE
353,2.1112091541290283,0.07627391815185547,0.3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6363636363636364,PC04,01,cvsa,,,ica,,,,,covert,WCBLE
366,1.0720248222351074,0.06220388412475586,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5786384976525821,PC04,01,cvsa,,,ica,,,,,free,WCBLE
367,1.6072804927825928,0.049616336822509766,0.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5427083333333333,PC04,01,cvsa,,,ica,,,,,free,WCBLE
368,1.0971646308898926,0.06650447845458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3838709677419354,PC04,01,cvsa,,,ica,,,,,free,WCBLE
369,1.1143581867218018,0.06932830810546875,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,PC04,01,cvsa,,,ica,,,,,free,WCBLE
370,0.9242143630981445,0.06648135185241699,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5035128805620609,PC04,01,cvsa,,,ica,,,,,free,WCBLE
371,1.4844379425048828,0.049736738204956055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5846153846153846,PC04,01,cvsa,,,ica,,,,,free,WCBLE
