,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
325,0.16933608055114746,0.05135941505432129,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6231884057971014,PC04,01,cvsa,,,ica,,,,,overt,tLDA
326,0.1942596435546875,0.0449976921081543,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7369614512471655,PC04,01,cvsa,,,ica,,,,,overt,tLDA
327,0.16895127296447754,0.04940319061279297,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6298076923076923,PC04,01,cvsa,,,ica,,,,,overt,tLDA
328,0.1760101318359375,0.04509568214416504,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79375,PC04,01,cvsa,,,ica,,,,,overt,tLDA
329,0.19522643089294434,0.04257392883300781,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.745,PC04,01,cvsa,,,ica,,,,,overt,tLDA
342,0.2863805294036865,0.06123971939086914,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5932367149758454,PC04,01,cvsa,,,ica,,,,,covert,tLDA
343,0.33035850524902344,0.052977561950683594,0.2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6313131313131313,PC04,01,cvsa,,,ica,,,,,covert,tLDA
344,0.29854393005371094,0.05625772476196289,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6497695852534562,PC04,01,cvsa,,,ica,,,,,covert,tLDA
345,0.3380599021911621,0.048171043395996094,0.4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5314207650273224,PC04,01,cvsa,,,ica,,,,,covert,tLDA
346,0.29433298110961914,0.06308674812316895,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541069100391134,PC04,01,cvsa,,,ica,,,,,covert,tLDA
347,0.28969287872314453,0.05614471435546875,0.3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6318181818181818,PC04,01,cvsa,,,ica,,,,,covert,tLDA
360,0.48600101470947266,0.0844419002532959,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5457746478873239,PC04,01,cvsa,,,ica,,,,,free,tLDA
361,0.3838369846343994,0.10189390182495117,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5270833333333333,PC04,01,cvsa,,,ica,,,,,free,tLDA
362,0.3878171443939209,0.10148334503173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45268817204301076,PC04,01,cvsa,,,ica,,,,,free,tLDA
363,0.4884476661682129,0.07395005226135254,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4382513661202186,PC04,01,cvsa,,,ica,,,,,free,tLDA
364,0.39578914642333984,0.09946560859680176,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5046838407494145,PC04,01,cvsa,,,ica,,,,,free,tLDA
365,0.40228986740112305,0.09443283081054688,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606993006993007,PC04,01,cvsa,,,ica,,,,,free,tLDA
